title,link,date
Connecting the Dots: Understanding the PSF’s Current Financial Outlook,https://pyfound.blogspot.com/2025/10/connecting-the-dots.html,"Nov. 4, 2025"
Improving security and integrity of Python package archives,https://pyfound.blogspot.com/2025/10/slippery-zips-and-sticky-tar-pits-security-and-archives-white-paper.html,"Oct. 30, 2025"
"Open Infrastructure is Not Free: PyPI, the Python Software Foundation, and Sustainability",https://pyfound.blogspot.com/2025/10/open-infrastructure-is-not-free-pypi.html,"Oct. 29, 2025"
A new PSF Board- Another year of PSF Board Office Hour sessions!,https://pyfound.blogspot.com/2025/10/a-new-psf-board-another-year-of-psf.html,"Oct. 28, 2025"
The PSF has withdrawn a $1.5 million proposal to US government grant program,https://pyfound.blogspot.com/2025/10/NSF-funding-statement.html,"Oct. 27, 2025"
